WELL_LABEL,WELL_NAME,DP_CONTROL,DP_PRES_DROP,GL_CONTROL_MODE,GL_GLIR,GL_MINRT,GL_MAXRT,SOL.GLINJRT,PROSPER.GlINJRT,WELLTYPE,SOLV.OILRT,SOLV.GASRT,SOLV.LIQRT,SOLV.GLIR,SOLV.FWHP,SOLV.WCUT,SOLV.DDOWN,SOLV.THP,IS_MASKED,IS_DISABLED,WELLMODEL,IPRTYPE,PI,RESPRES,RESTEMP,GOR,SGOIL,SGGAS,CO2,WCUT,Prosper.Filename
DS-2J016-S,DS-2J016-S,NONE,0,CALCULATED,0.154,0,1,0.143807983,0.154,OilProducerGL,5.382212364,0.1333174,5.806680729,0.143807983,65.00341354,7.310000062,1472.426745,65.00341354,0,0,VLPIPR,PI,0.00547368,2252,165,24770,32,0.75999999,0,7.310000062,C:\Users\ptech\DS-2J016-S.OUT
DS-2J016-L,DS-2J016-L,NONE,0,FIXEDVALUE,0,,,0,0,OilProducerGL,0,0,0,0,,,,0,0,1,VLPIPR,PI,0.30481,2250,167,2472,40.099998,0.81,0,60.000002,C:\Users\ptech\DS-2J016-L.OUT
DS-2J030-S,DS-2J030-S,NONE,0,FIXEDVALUE,,,,0,,OilProducerGL,0,0,0,0,,,,0,0,1,VLPIPR,PI,0.149861,1720,151,1500,22.700001,0.68,0,50,C:\Users\ptech\DS-2J030-S.OUT
DS-2J030-L,DS-2J030-L,NONE,0,CALCULATED,0.2,0,1,0.009515022,0.2,OilProducerGL,199.7635439,0.302242242,455.4572326,0.009515022,165.0226033,56.13999963,1564.336508,165.0226033,0,0,VLPIPR,PI,0.366630151,2350,164,1513,31,0.75,0,56.13999963,C:\Users\ptech\DS-2J030-L.OUT
DS-2J034-L,DS-2J034-L,NONE,0,CALCULATED,0.12,0,1,0.192974006,0.12,OilProducerGL,260.5673459,0.349941946,1861.195518,0.192974006,188.4463424,86.00000143,666.6485559,188.4463424,0,0,VLPIPR,PI,2.863151666,2200,169,1343,37,0.800000012,0,86.00000143,C:\Users\ptech\DS-2J034-L.OUT
DS-2J018-T,DS-2J018-T,NONE,0,CALCULATED,0,0,1,0,0,OilProducerNoLift,242.0965406,1.919382511,638.608612,0,758.2275039,62.08999753,610.7164297,758.2275039,0,0,VLPIPR,PI,1.117645369,1938,156,7928.169922,22.70000076,0.680000007,0,62.08999753,C:\Users\ptech\DS-2J018-T.OUT
DS-2J019-T,DS-2J019-T,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-2J019-T.OUT
DS-2J020-T,DS-2J020-T,NONE,0,CALCULATED,0.35,,,0,0.35,OilProducerGL,0,0,0,0,,,,0,0,1,VLPIPR,PI,0.649558,1750,162,1000,22.700001,0.68,0,69.999999,C:\Users\ptech\DS-2J020-T.OUT
DS-2J028-S,DS-2J028-S,NONE,0,CALCULATED,0.328,0,1,0,0.328,OilProducerGL,104.5203367,0.217679269,218.4333016,0,207.7753156,52.14999914,1136.932903,207.7753156,0,0,VLPIPR,PI,0.233111737,1938,156,2082.649902,22.70000076,0.680000007,0,52.14999914,C:\Users\ptech\DS-2J028-S.OUT
DS-2J028-L,DS-2J028-L,NONE,0,CALCULATED,0.328,0,1,0.372424607,0.328,OilProducerGL,155.5344482,0.105918959,235.7654187,0.372424607,277.7868998,34.02999938,1194.709434,277.7868998,0,0,VLPIPR,PI,0.243883721,2200,169,681,37,0.800000012,0,34.02999938,C:\Users\ptech\DS-2J028-L.OUT
