WELL_LABEL,WELL_NAME,DP_CONTROL,DP_PRES_DROP,GL_CONTROL_MODE,GL_GLIR,GL_MINRT,GL_MAXRT,SOL.GLINJRT,PROSPER.GlINJRT,WELLTYPE,SOLV.OILRT,SOLV.GASRT,SOLV.LIQRT,SOLV.GLIR,SOLV.FWHP,SOLV.WCUT,SOLV.DDOWN,SOLV.THP,IS_MASKED,IS_DISABLED,WELLMODEL,IPRTYPE,PI,RESPRES,RESTEMP,GOR,SGOIL,SGGAS,CO2,WCUT,Prosper.Filename
WL-B016-SS,,NONE,0,CALCULATED,0.154,0.0,1.0,0.143807983,0.154,OilProducerGL,5.382212364,0.1333174,5.806680729,0.143807983,65.003413539,7.310000062,1472.42674499,65.003413539,0,0,VLPIPR,PI,0.00547368,2252.0,165.0,24770.0,32.0,0.75999999,0.0,7.310000062,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform B\WL-B016S01-SS.Out
WL-B016-LS,,NONE,0,FIXEDVALUE,0.0,,,0.0,0.0,OilProducerGL,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,0.30481,2250.0,167.0,2472.0,40.099998,0.81,0.0,60.000002,
WL-B030-SS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerGL,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,0.149861,1720.0,151.0,1500.0,22.700001,0.68,0.0,50.0,
WL-B030-LS,,NONE,0,CALCULATED,0.2,0.0,1.0,0.009515022,0.2,OilProducerGL,199.763543931,0.302242242,455.457232643,0.009515022,165.022603304,56.139999628,1564.33650791,165.022603304,0,0,VLPIPR,PI,0.366630151,2350.0,164.0,1513.0,31.0,0.75,0.0,56.139999628,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform B\WL-B030-LS.Out
WL-B034-LS,,NONE,0,CALCULATED,0.12,0.0,1.0,0.192974006,0.12,OilProducerGL,260.567345913,0.349941946,1861.19551812,0.192974006,188.446342425,86.000001431,666.648555893,188.446342425,0,0,VLPIPR,PI,2.863151666,2200.0,169.0,1343.0,37.0,0.800000012,0.0,86.000001431,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform B\WL-B034-LS.Out
WL-B018-TS,,NONE,0,CALCULATED,0.0,0.0,1.0,0.0,0.0,OilProducerNoLift,242.096540587,1.919382511,638.60861201,0.0,758.227503884,62.08999753,610.716429723,758.227503884,0,0,VLPIPR,PI,1.117645369,1938.0,156.0,7928.16992188,22.700000763,0.680000007,0.0,62.08999753,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform B\WL-B018-TS.Anl
WL-B019-TS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-B020-TS,,NONE,0,CALCULATED,0.35,,,0.0,0.35,OilProducerGL,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,0.649558,1750.0,162.0,1000.0,22.700001,0.68,0.0,69.999999,
WL-B028-SS,,NONE,0,CALCULATED,0.328,0.0,1.0,0.0,0.328,OilProducerGL,104.520336683,0.217679269,218.433301584,0.0,207.775315554,52.149999142,1136.93290295,207.775315554,0,0,VLPIPR,PI,0.233111737,1938.0,156.0,2082.64990234,22.700000763,0.680000007,0.0,52.149999142,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform B\WL-B028-SS.Out
WL-B028-LS,,NONE,0,CALCULATED,0.328,0.0,1.0,0.372424607,0.328,OilProducerGL,155.534448219,0.105918959,235.765418746,0.372424607,277.786899807,34.029999375,1194.70943392,277.786899807,0,0,VLPIPR,PI,0.243883721,2200.0,169.0,681.0,37.0,0.800000012,0.0,34.029999375,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform B\WL-B028-LS.Out
WL-B035-SS,WL-B035-SS,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-B035-LS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-B017-SS,,NONE,0,CALCULATED,0.25,0.0,1.0,0.4052022,0.25,OilProducerGL,171.956823083,0.082883189,173.781529114,0.4052022,187.768927106,1.049999986,1126.95449836,187.768927106,0,0,VLPIPR,PI,0.198571946,2214.0,164.0,482.0,31.0,0.75,0.0,1.049999986,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform B\WL-B017-SS.Out
